Transaction #,Operation #,Ignore,Datetime,Amount In,Amount Out,Amount currency,Description,Counterparty address,Counterparty name,Transaction hash,Blockchain,Wallet,transfer_from,transfer_to,transfer_amount,token_address,token_symbol,token_name,transfer_type,call,tx_hash,block_number,from_alias,to_alias,timestamp
119,1,True,2024-11-24 19:36:50,,0.0576607717,STRK,Transaction,0x01176a1bd84444c89232ec27754698e5d2e7e1a7f1539f12027f28b23ec9f3d8,Starknet,0x03971d0c85e92d2aabd4ce7a84ea47eae0862a38ff491d528f667ff23082fca8,Starknet,0x035b6530ef09e227ca9f92efb66df12d0da9fface35ecd53b53a918c7d4eaa75,0x035b6530ef09e227ca9f92efb66df12d0da9fface35ecd53b53a918c7d4eaa75,0x01176a1bd84444c89232ec27754698e5d2e7e1a7f1539f12027f28b23ec9f3d8,0.0576607717,0x04718f5a0fc34cc1af16a1cdee98ffb20c31f5cd61d6ab07201858f4287c938d,STRK,Starknet Token,fee_transfer,transfer,0x03971d0c85e92d2aabd4ce7a84ea47eae0862a38ff491d528f667ff23082fca8,927424,,StarkWare: Sequencer,2024-11-24T19:36:50.000Z
119,3,True,2024-11-24 19:36:50,,44059.2130560000,USDC,Transaction,0x059a943ca214c10234b9a3b61c558ac20c005127d183b86a99a8f3c60a08b4ff,Nostra,0x03971d0c85e92d2aabd4ce7a84ea47eae0862a38ff491d528f667ff23082fca8,Starknet,0x035b6530ef09e227ca9f92efb66df12d0da9fface35ecd53b53a918c7d4eaa75,0x035b6530ef09e227ca9f92efb66df12d0da9fface35ecd53b53a918c7d4eaa75,0x059a943ca214c10234b9a3b61c558ac20c005127d183b86a99a8f3c60a08b4ff,44059.2130560000,0x053c91253bc9682c04929ca02ed00b3e423f6710d2ee7e0d5ebb06f3ecf368a8,USDC,USD Coin,execute,transfer,0x03971d0c85e92d2aabd4ce7a84ea47eae0862a38ff491d528f667ff23082fca8,927424,,Nostra Interest Rate Model,2024-11-24T19:36:50.000Z
118,1,True,2024-11-24 19:36:20,,0.4302533844,STRK,Transaction,0x01176a1bd84444c89232ec27754698e5d2e7e1a7f1539f12027f28b23ec9f3d8,Starknet,0x066a1d42acfa316732865ea930875895d6d0689363c6d33b4a586fcebb20f635,Starknet,0x035b6530ef09e227ca9f92efb66df12d0da9fface35ecd53b53a918c7d4eaa75,0x035b6530ef09e227ca9f92efb66df12d0da9fface35ecd53b53a918c7d4eaa75,0x01176a1bd84444c89232ec27754698e5d2e7e1a7f1539f12027f28b23ec9f3d8,0.4302533844,0x04718f5a0fc34cc1af16a1cdee98ffb20c31f5cd61d6ab07201858f4287c938d,STRK,Starknet Token,fee_transfer,transfer,0x066a1d42acfa316732865ea930875895d6d0689363c6d33b4a586fcebb20f635,927423,,StarkWare: Sequencer,2024-11-24T19:36:20.000Z
118,2,True,2024-11-24 19:36:20,44059.2130560000,,USDC,Transaction,0x04505a9f06f2bd639b6601f37a4dc0908bb70e8e0e0c34b1220827d64f4fc066,,0x066a1d42acfa316732865ea930875895d6d0689363c6d33b4a586fcebb20f635,Starknet,0x035b6530ef09e227ca9f92efb66df12d0da9fface35ecd53b53a918c7d4eaa75,0x04505a9f06f2bd639b6601f37a4dc0908bb70e8e0e0c34b1220827d64f4fc066,0x035b6530ef09e227ca9f92efb66df12d0da9fface35ecd53b53a918c7d4eaa75,44059.2130560000,0x053c91253bc9682c04929ca02ed00b3e423f6710d2ee7e0d5ebb06f3ecf368a8,USDC,USD Coin,execute,transfer,0x066a1d42acfa316732865ea930875895d6d0689363c6d33b4a586fcebb20f635,927423,,,2024-11-24T19:36:20.000Z
118,3,True,2024-11-24 19:36:20,,13.3236330551,ETH,Transaction,0x04505a9f06f2bd639b6601f37a4dc0908bb70e8e0e0c34b1220827d64f4fc066,,0x066a1d42acfa316732865ea930875895d6d0689363c6d33b4a586fcebb20f635,Starknet,0x035b6530ef09e227ca9f92efb66df12d0da9fface35ecd53b53a918c7d4eaa75,0x035b6530ef09e227ca9f92efb66df12d0da9fface35ecd53b53a918c7d4eaa75,0x04505a9f06f2bd639b6601f37a4dc0908bb70e8e0e0c34b1220827d64f4fc066,13.3236330551,0x049d36570d4e46f48e99674bd3fcc84644ddd6b96f7c741b1562b82f9e004dc7,ETH,Ether,execute,transfer,0x066a1d42acfa316732865ea930875895d6d0689363c6d33b4a586fcebb20f635,927423,,,2024-11-24T19:36:20.000Z
117,1,True,2024-11-24 19:35:46,,0.0000560342,ETH,Transaction,0x01176a1bd84444c89232ec27754698e5d2e7e1a7f1539f12027f28b23ec9f3d8,Starknet,0x0016a6c176a209bc6dba420c505c6fcc7aa69e9edcd4f2658e599f0133615af6,Starknet,0x035b6530ef09e227ca9f92efb66df12d0da9fface35ecd53b53a918c7d4eaa75,0x035b6530ef09e227ca9f92efb66df12d0da9fface35ecd53b53a918c7d4eaa75,0x01176a1bd84444c89232ec27754698e5d2e7e1a7f1539f12027f28b23ec9f3d8,0.0000560342,0x049d36570d4e46f48e99674bd3fcc84644ddd6b96f7c741b1562b82f9e004dc7,ETH,Ether,execute,transfer,0x0016a6c176a209bc6dba420c505c6fcc7aa69e9edcd4f2658e599f0133615af6,927422,,StarkWare: Sequencer,2024-11-24T19:35:46.000Z
116,1,True,2024-11-24 19:34:46,,0.0000141673,ETH,Transaction,0x01176a1bd84444c89232ec27754698e5d2e7e1a7f1539f12027f28b23ec9f3d8,Starknet,0x061b70b5e98ec372fe2eddcc41925f87106051085670417308e38e67efd43395,Starknet,0x035b6530ef09e227ca9f92efb66df12d0da9fface35ecd53b53a918c7d4eaa75,0x035b6530ef09e227ca9f92efb66df12d0da9fface35ecd53b53a918c7d4eaa75,0x01176a1bd84444c89232ec27754698e5d2e7e1a7f1539f12027f28b23ec9f3d8,0.0000141673,0x049d36570d4e46f48e99674bd3fcc84644ddd6b96f7c741b1562b82f9e004dc7,ETH,Ether,fee_transfer,transfer,0x061b70b5e98ec372fe2eddcc41925f87106051085670417308e38e67efd43395,927420,,StarkWare: Sequencer,2024-11-24T19:34:46.000Z
116,2,True,2024-11-24 19:34:46,13.3228223504,,ETH,Transaction,0x059a943ca214c10234b9a3b61c558ac20c005127d183b86a99a8f3c60a08b4ff,Nostra,0x061b70b5e98ec372fe2eddcc41925f87106051085670417308e38e67efd43395,Starknet,0x035b6530ef09e227ca9f92efb66df12d0da9fface35ecd53b53a918c7d4eaa75,0x059a943ca214c10234b9a3b61c558ac20c005127d183b86a99a8f3c60a08b4ff,0x035b6530ef09e227ca9f92efb66df12d0da9fface35ecd53b53a918c7d4eaa75,13.3228223504,0x049d36570d4e46f48e99674bd3fcc84644ddd6b96f7c741b1562b82f9e004dc7,ETH,Ether,execute,transfer,0x061b70b5e98ec372fe2eddcc41925f87106051085670417308e38e67efd43395,927420,Nostra Interest Rate Model,,2024-11-24T19:34:46.000Z
115,1,True,2024-11-24 19:33:12,,0.0000075161,ETH,Transaction,0x01176a1bd84444c89232ec27754698e5d2e7e1a7f1539f12027f28b23ec9f3d8,Starknet,0x04fe84d1cbff7dde12690b499e3f50503bd7c6247dbacee8fbd42927bdcb48ac,Starknet,0x035b6530ef09e227ca9f92efb66df12d0da9fface35ecd53b53a918c7d4eaa75,0x035b6530ef09e227ca9f92efb66df12d0da9fface35ecd53b53a918c7d4eaa75,0x01176a1bd84444c89232ec27754698e5d2e7e1a7f1539f12027f28b23ec9f3d8,0.0000075161,0x049d36570d4e46f48e99674bd3fcc84644ddd6b96f7c741b1562b82f9e004dc7,ETH,Ether,fee_transfer,transfer,0x04fe84d1cbff7dde12690b499e3f50503bd7c6247dbacee8fbd42927bdcb48ac,927417,,StarkWare: Sequencer,2024-11-24T19:33:12.000Z
115,2,True,2024-11-24 19:33:12,,2070.0000000000,STRK,Transaction,0x059a943ca214c10234b9a3b61c558ac20c005127d183b86a99a8f3c60a08b4ff,Nostra,0x04fe84d1cbff7dde12690b499e3f50503bd7c6247dbacee8fbd42927bdcb48ac,Starknet,0x035b6530ef09e227ca9f92efb66df12d0da9fface35ecd53b53a918c7d4eaa75,0x035b6530ef09e227ca9f92efb66df12d0da9fface35ecd53b53a918c7d4eaa75,0x059a943ca214c10234b9a3b61c558ac20c005127d183b86a99a8f3c60a08b4ff,2070.0000000000,0x04718f5a0fc34cc1af16a1cdee98ffb20c31f5cd61d6ab07201858f4287c938d,STRK,Starknet Token,execute,transfer,0x04fe84d1cbff7dde12690b499e3f50503bd7c6247dbacee8fbd42927bdcb48ac,927417,,Nostra Interest Rate Model,2024-11-24T19:33:12.000Z
